NOUN_ratio,VERB_ratio,PART_ratio,ADJ_ratio,NUM_ratio,PRON_ratio,DET_ratio,PUNC_ratio,avg_word_len,word_count,TTR_ratio,avg_sentence_len,UNKNOWN_ratio,label
0.0975609756097561,0.07317073170731707,0.21951219512195122,0.024390243902439025,0.0,0.0,0.024390243902439025,0.07317073170731707,2.2941176470588234,41.0,0.6176470588235294,10.5,0.17073170731707318,0
0.10204081632653061,0.061224489795918366,0.16326530612244897,0.02040816326530612,0.0,0.0,0.10204081632653061,0.0,2.8947368421052633,49.0,0.7631578947368421,33.0,0.22448979591836735,0
0.022727272727272728,0.09090909090909091,0.20454545454545456,0.09090909090909091,0.045454545454545456,0.0,0.06818181818181818,0.022727272727272728,2.7714285714285714,44.0,0.7714285714285715,25.0,0.20454545454545456,0
0.02185792349726776,0.09289617486338798,0.20765027322404372,0.04371584699453552,0.0,0.0,0.09836065573770492,0.02185792349726776,3.0625,183.0,0.5763888888888888,109.0,0.21311475409836064,0
0.03333333333333333,0.03333333333333333,0.36666666666666664,0.0,0.0,0.0,0.06666666666666667,0.0,3.0,30.0,0.7692307692307693,16.0,0.13333333333333333,0
0.15,0.0,0.35,0.05,0.0,0.0,0.05,0.0,3.4444444444444446,20.0,0.9444444444444444,12.0,0.1,0
0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,2.1666666666666665,8.0,1.0,3.0,0.25,0
0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,3.8181818181818183,13.0,1.0,8.0,0.15384615384615385,0
0.05970149253731343,0.05970149253731343,0.22388059701492538,0.014925373134328358,0.014925373134328358,0.0,0.1044776119402985,0.0,2.7450980392156863,67.0,0.6274509803921569,36.0,0.23880597014925373,0
0.05343511450381679,0.08396946564885496,0.2748091603053435,0.05343511450381679,0.0,0.0,0.0916030534351145,0.0,2.897196261682243,131.0,0.5046728971962616,71.0,0.183206106870229,0
0.027777777777777776,0.05555555555555555,0.25,0.027777777777777776,0.0,0.0,0.1388888888888889,0.027777777777777776,2.892857142857143,36.0,0.8928571428571429,20.0,0.2222222222222222,0
0.08333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,2.8,12.0,1.0,8.0,0.16666666666666666,0
